id,tweets,sentiment
1586116719646748672,  Ditambah alat transportasi nya mobil esemka yang berseliweran di setiap sudut ibu kota nusantara,
1586116427148238848," IKN itu sendiri  Ibu Kota Nusantara

kalau IKN Nusantara 
Ibu Kota Nusantara Nusantara  

kalau panglimanya aja nggak faham,
gimana pasukannya  

kecuali IKN yang dimaksud itu  
Ibu Kolam Nusanra",
1586054578927063040,"Presiden Joko Widodo versi avatar ditampilkan saat peluncuran platform digital berbasis interaksi sosial di dunia virtual bernama Jagat Nusantara, Jumat 2810 Dalam video itu, Presiden seolah masuk ke dalam versi digital Ibu Kota Nusantara IKN   ",
1586041320891506689,"Tampak layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital Dalam video tersebut, Presiden Jokowi juga mengajak para generasi muda untuk bersatu, bertepatan dengan momen Hari Sumpah Pemuda ",
1586031293430566912,"Presiden Joko Widodo  meninjau pembangunan infrastruktur kawasan Ibu Kota Nusantara IKN, di Kabupaten Penajam Paser Utara, Provinsi Kalimantan Timur, pada Selasa, 25 Oktober 2022 ",
1586030698565017602,"Ada yang berbeda dalam kunjungan Presiden  ke Ibu Kota Nusantara IKN pada Selasa, 25 Oktober 2022 Biasanya Presiden dan rombongan menggunakan jalur darat dari Balikpapan ke IKN dengan waktu tempuh selama 2 jam ",
1586029991934193664,"Wakil Menteri Pariwisata dan Ekonomi Kreatif Angela Tanoesoedibjo, dan Kepala Badan Otorita Ibu Kota Nusantara Bambang Susantono

Jakarta, 28 Oktober 2022 ",
1586029165933121536,"Nah, ini salah satunya Ayo ikut saya Masa depan kita mulai dari sini Selamat datang di Ibu Kota Nusantara Di sini kita akan berkumpul, berkreasi, bersosialisasi dengan saudarasaudara kita, ucap Presiden dalam video tersebut ",
1586028905974345728,"Dengan mengucapkan bismillahirahmanirrahim, pada sore hari ini secara resmi saya luncurkan Jagat Nusantara, ujar Presiden Jokowi

Setelah itu, layar menampilkan Presiden Jokowi versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital ",
1586027973609541636,"layar menampilkan Presiden  versi avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital Dalam video tersebut, Presiden Jokowi juga mengajak para generasi muda untuk bersatu, bertepatan dengan momen Hari Sumpah Pemuda ",
1586017132696858624,"Presiden  meninjau pembangunan infrastruktur kawasan Ibu Kota Nusantara IKN, di Kabupaten Penajam Paser Utara Presiden menyampaikan bahwa sejumlah progres infrastruktur seperti pembangunan bendungan, pengembangan lahan, serta akses jalan berjalan dengan baik ",
1586007625141202944,"Menteri Koperasi dan Usaha Kecil Menengah Teten Masduki, Wakil Menteri Pariwisata dan Ekonomi Kreatif Angela Tanoesoedibjo, dan Kepala Badan Otorita Ibu Kota Nusantara Bambang Susantono

Jakarta, 28 Oktober 2022 ",
1586006737894526976,"Platform metaverse lokal Jagat resmi meluncur hari ini, yang merupakan dunia virtual pertama di Indonesia yang terhubung dengan kota nyata yakni Ibu Kota Nusantara IKN

",
1586005449215655936,Layar menampilkan Presiden Jokowi versi Avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara IKN versi digital ,
1586005183967789056,"Presiden Jokowi meninjau pembangunan infrastruktur  kawasan Ibu Kota Nusantara IKN, di KabPenajam Paser Utara, Kalimantan Timur, Selasa 251022, dan menyampaikan, progres infrastruktur seperti pembangunan bendungan, pengembangan lahan, dan  akses jalan berjalan dengan baik",
1586003432263274498,"Meninjau pembangunan infrastruktur kawasan Ibu Kota Nusantara IKN,di Kab Penajam Paser Utara,Kalimantan Timur, Selasa 251022, Presiden  menyampaikan, sejumlah progres infrastruktur seperti pembangunan bendungan, pengembangan lahan, serta akses jalan berjalan baik",
1586002630752366593,"Setelah itu, layar Menampilkan Presiden  versi Avatar yang kemudian mengajak para peserta memasuki Ibu Kota Nusantara  IKN  versi digital Dalam video tersebut Presiden Jokowi mengajak para generasi muda untuk bersatu, bertepatan dengan momen hari Sumpah Pemuda ",
1586001173810909186,"Selamat datang di Ibu Kota Nusantara Di sini kita akan berkumpul, berkreasi, bersosialisasi dengan saudarasaudara kita, ucap Presiden dalam video tersebut ",
1585993797069991940,Jagat Nusantara merupakan platform dunia virtual pertama di Indonesia yang terhubung dengan kota nyata yakni Ibu Kota Nusantara IKN ,
1585992040449703939,"Jagat Nusantara adalah platform dunia virtual pertama di Indonesia yg terhubung dg kota nyata, yakni Ibu Kota Nusantara IKN Publik bisa membuat avatar sendiri dan masuk dlm dunia virtual utk berinteraksi dengan pengguna lain

 ",
1585991281804992512,Gubernur Kalimantan Timur Kaltim Isran Noor menyinggung pihakpihak yang tak setuju terhadap pembangunan Ibu Kota Nusantara IKN  ,
1585991204486844416,"Gubernur Kalimantan Timur, Isran Noor mengatakan bagi masyarakat yang menolak pembangunan Ibu Kota Negara IKN Nusantara, akan pendek umur ",
1585989625633382401,"Memberi Nama Ibu Kota Baru Dengan Nusantara Karena Kata Tersebut Sudah Dikenal Sejak Dulu
Jambi




 ",
1585989103362793472,", Ketua KPU Hasyim Asyari mengikuti secara daring Puncak Peringatan Hari Sumpah Pemuda ke94 Tahun 2022, yang disiarkan langsung dari titik nol, Ibu Kota Negara IKN Nusantara, Kalimantan Timur, Jumat 28102022 ",
1585985690008842242,Menpora Amali Wakili Presiden Jokowi Hadiri Puncak Peringatan Hari Sumpah Pemuda ke94 2022 di Titik Nol Ibu Kota Nusantara ,
1585982375435329536,"dan Kepala Badan Otorita Ibu Kota Nusantara Bambang Susantono

Jakarta, 28 Oktober 2022
Biro Pers, Media, dan Informasi Sekretariat Presiden

Website: 
YouTube: Sekretariat Presiden ",
1585981661514444800,"Ayo generasi muda mari kita membangun Ibu Kota Nusantara bersamasama melalui inovasi dan kreativitas, ungkapnya ",
