date,id,tweets,sentiment,processed_tweets
2022-03-16,1503902639154626565,"emangnya termaktub dalam pembukaan uud negara ri citacita besar membangun  ibu kota nusantara pak presiden
kalau iya tolong terangkan biar rakyat paham",,"emangnya termaktub pembukaan uud ri citacita membangun  presiden
kalau iya tolong terangkan biar rakyat paham"
2022-03-16,1503901775090585603,partai oposisi dan koalisi pemerintah kompak menyayangkan mundurnya para investor dari proyek ibu kota negara ikn nusantara di kalimantan timur padahal proses pembangunan tengah dimulai,,partai oposisi koalisi kompak menyayangkan mundurnya investor proyek proses
2022-03-16,1503900764476895235,"menteri bumn erick thohir mendampingi presiden  berkemah di ikn nusantara

dari  titik nol ibu kota negara ikn nusantara kalimantan timur
sejarah itu dimulai menjadi awal baru indonesia menuju kemajuan dan berdaya saing dunia",,"menteri bumn erick thohir mendampingi  berkemah nusantara

dari  timur
sejarah kemajuan berdaya saing dunia"
2022-03-16,1503900668897415170,jokowi satukan elemen nusantara rasmi tapak ibu kota baharu,,satukan elemen rasmi tapak baharu
2022-03-16,1503900340806062080,jokowi satukan tanah air untuk ibu kota negara nusantara,,satukan air
2022-03-16,1503895270815281152,prosesi penyerahan tanah dan air dari seluruh gubernur kepada bapak presiden jokowi penyerahan dilakukan di titik nol kilometer ibu kota nusantara ujar erick thohir,,prosesi penyerahan air gubernur penyerahan kilometer erick thohir
2022-03-16,1503893927858159616,peresmian pusat persemaian mentawir di ibu kota negara nusantara upaya awal pembangunan lahan hijau,,peresmian pusat persemaian mentawir upaya lahan hijau
