source,target,source_name,target_name
1.50827e+18,1711011012.0,markrapid1995,endgameconfess
1.51233e+18,1.1688e+18,bingobravoo,ElvinaNara
1.50367e+18,2295629636.0,davidxsantoso,KelestarianAlam
1.33333e+18,2295629636.0,dewisuci510,KelestarianAlam
1.48583e+18,353558175.0,NimanaTita,NatureApproach
91035628.0,105418132.0,tonugamu,omietobs
223697561.0,1.2315e+18,masbogel,txtdrpemerintah
1.39606e+18,243516654.0,dari_papua,jangrangga2
1.48659e+18,1.1688e+18,indi_anjani,ElvinaNara
1.52495e+18,1.39634e+18,bire212,gungaia
1.53218e+18,1.39634e+18,lili7505,gungaia
1.52713e+18,1.39634e+18,dire750,gungaia
1.50355e+18,1.52908e+18,DefiJhon,ramaj4y4
1.48437e+18,243516654.0,iuytr11663393,jangrangga2
1.49856e+18,243516654.0,AnaSire9ar,jangrangga2
9.70291e+17,1.52855e+18,la_suha,BasoAhmad14
9.70291e+17,1.52856e+18,la_suha,IndahPu41252379
2494392524.0,1.29626e+18,bandarampery50,Rajawali_NKRI
1.53127e+18,1.52855e+18,arianto_aris2,BasoAhmad14
1.49708e+18,1.1688e+18,JunaJuni123,ElvinaNara
1.49707e+18,1.1688e+18,AndriRyogo,ElvinaNara
1.39606e+18,413888550.0,dari_papua,abangbelneg
1.49461e+18,1.1688e+18,bagushape1,ElvinaNara
1.48447e+18,243516654.0,rikylee20,jangrangga2
1.4855e+18,1.35464e+18,DadangSudirma,elischaca
1.49759e+18,243516654.0,rezkiutario,jangrangga2
1.50367e+18,243516654.0,davidxsantoso,jangrangga2
1374763538.0,1.27295e+18,SakiinaQhiCO_33,riea_mariska86
1.4811e+18,1.1973e+18,JulBayur3,WiseTigerSage
1.51695e+18,413888550.0,bangajadianak,abangbelneg
1.53379e+18,1.35657e+18,togusijuntak,AyuTiasya
7.0632e+17,1.35659e+18,GsagKpo,favor_two
1.52861e+18,1.35659e+18,MasyarakatSatu,favor_two
1.22942e+18,9.27522e+17,Infoteerkini,ichaswe
8.2376e+17,1.00926e+18,roseuune,aiiptu
215637459.0,22126902.0,buceiswara,republikaonline
8.2376e+17,7.19557e+17,roseuune,red1n1earth
